listing_id,name,host_id,host_name,host_is_superhost,host_listings_count,host_tenure_years,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price_clean,availability_365,calendar_days,available_days,unavailable_days,availability_rate,occupancy_proxy,number_of_reviews,total_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,estimated_revenue_proxy,superhost_status,price_status,review_status,availability_rate_pct,occupancy_proxy_pct,host_portfolio_segment
1163463655503289282,Appartement Amsterdam 2 personen,134178715,Max,False,1.0,9.03,Oud-Noord,52.39642,4.90645,Entire rental unit,Entire home/apt,2,1.0,1.0,120.0,353,365,353,12,0.9671,0.0329,0,,,,,,1440.0,Non-Superhost,Available Price,No Reviews,96.71,3.29,Single-listing host
1163490816089936010,Design Apartment near Jordaan – Quiet & Central,126865871,Haye,False,1.0,9.17,Westerpark,52.37653,4.87205,Entire home,Entire home/apt,2,1.0,,,21,365,21,344,0.0575,0.9425,5,5.0,5.0,5.0,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,5.75,94.25,Single-listing host
1163496779390740324,Luxurious ground floor apt Amsterdam,579345842,Jelena,False,1.0,2.08,Zuid,52.35369,4.84724,Entire rental unit,Entire home/apt,2,1.0,1.0,228.0,0,365,0,365,0.0,1.0,1,1.0,5.0,5.0,5.0,5.0,83220.0,Non-Superhost,Available Price,Has Reviews,0.0,100.0,Single-listing host
1163502891688197178,Colorful and cosy apartment,17256891,Iris,False,1.0,11.99,Oud-Oost,52.36408940838559,4.926779968641744,Entire rental unit,Entire home/apt,2,1.0,0.0,171.0,174,365,174,191,0.4767,0.5233,0,,,,,,32661.0,Non-Superhost,Available Price,No Reviews,47.67,52.33,Single-listing host
1163514263166105495,Sfeervol appartement aan het water,157683871,Annelot,False,1.0,8.62,De Pijp - Rivierenbuurt,52.3485663,4.8904736,Entire condo,Entire home/apt,4,2.0,2.0,450.0,349,365,349,16,0.9562,0.0438,9,9.0,5.0,4.89,5.0,5.0,7200.0,Non-Superhost,Available Price,Has Reviews,95.62,4.38,Single-listing host
1163546166707894939,Modern 75m² Oasis in Amsterdam,7384896,Aukje,False,1.0,12.95,Oostelijk Havengebied - Indische Buurt,52.36420048172385,4.933835946728386,Entire rental unit,Entire home/apt,4,2.0,,,7,365,7,358,0.0192,0.9808,4,4.0,5.0,5.0,4.75,5.0,,Non-Superhost,Missing Price,Has Reviews,1.92,98.08,Single-listing host
1163550859749397425,NEW! Family Apartment at Museum District,579355712,Alexander,False,1.0,2.08,Zuid,52.34905,4.87887,Entire home,Entire home/apt,4,3.0,,,0,365,0,365,0.0,1.0,2,2.0,5.0,5.0,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1163846018309664061,Apartment with stunning garden,77665918,Wietse,True,1.0,10.02,Oud-Oost,52.3599891,4.9278806,Entire rental unit,Entire home/apt,4,2.0,2.0,246.0,89,365,89,276,0.2438,0.7562,20,20.0,4.8,4.65,4.8,4.9,67896.0,Superhost,Available Price,Has Reviews,24.38,75.62,Single-listing host
1164354890495054352,"Beautiful, Quiet Apartment in Amsterdam Oost",16432662,Niels,False,1.0,12.04,Watergraafsmeer,52.35116199363798,4.92276357720929,Entire rental unit,Entire home/apt,2,1.0,0.0,140.0,11,365,11,354,0.0301,0.9699,0,,,,,,49560.0,Non-Superhost,Available Price,No Reviews,3.01,96.99,Single-listing host
1164487743421809036,Mansion Suite 4,68338234,Dries,False,10.0,10.16,Centrum-West,52.36609,4.87968,Room in hotel,Private room,4,1.0,,,113,365,113,252,0.3096,0.6904,7,7.0,4.71,4.71,5.0,4.71,,Non-Superhost,Missing Price,Has Reviews,30.959999999999997,69.04,Medium portfolio host
